Year,Region,Index,Source,Sector,Sub-sector,Sub-sub-sector,Total,CO2eq,Unit
2000,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2000,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2001,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2001,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2002,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2002,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2003,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2003,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2004,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2004,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2005,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2005,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2006,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2006,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2007,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2007,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2008,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2009,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2009,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2010,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2011,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2011,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2012,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2012,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2013,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2013,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2014,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2014,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2015,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2015,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2016,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2016,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2017,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2017,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
2018,Nova Scotia,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,y,1.40E-09,Mt
2018,Nova Scotia,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,,1.40E-09,Mt
1990,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1991,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1992,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1993,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1994,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1995,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
1996,Newfoundland and Labrador,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,,6.65E-09,Mt
2004,Prince Edward Island,26,Heavy Industry,Mining,,,,6.99E-09,Mt
2005,Prince Edward Island,26,Heavy Industry,Mining,,,,4.95E-08,Mt
2017,Prince Edward Island,26,Heavy Industry,Mining,,,,5.95E-08,Mt
2016,Prince Edward Island,26,Heavy Industry,Mining,,,,6.18E-08,Mt
2015,Prince Edward Island,26,Heavy Industry,Mining,,,,7.88E-08,Mt
2014,Prince Edward Island,26,Heavy Industry,Mining,,,,1.03E-07,Mt
2006,Prince Edward Island,26,Heavy Industry,Mining,,,,1.07E-07,Mt
