Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
Carbon Capture and Storage Investment (Budget 2008)*,Cross-cutting,CO2,Support the SaskPower Boundary Dam clean energy technology project,Economic,Implemented,2014,Natural Resources Canada ,700,700,"As part of Budget 2008, a one-time allocation of $240 million was given towards the SaskPower Boundary Dam carbon capture and storage project which will capture and store up to 1,000 Kt CO2 per year from 2014 onwards for the life of the plant."
Clean Energy Fund  (Budget 2009)*,Cross-cutting,CO2,"Support the Quest carbon capture and storage facility; and the Alberta Carbon Trunk Line carbon capture, utilization and storage project",Economic,Implemented,2015,Natural Resources Canada ,2700,2700,"As part of Budget 2009, Natural Resources Canada provided $120 million to the Quest project and $63 million to the Alberta Carbon Trunk Line (ACTL) project. Quest, a large-scale and fully integrated carbon capture storage (CCS) project located in Alberta, is the first commercial-scale project of this nature to tackle carbon emissions in the oil sands. ACTL is a 240km pipeline with a capacity of up to 15 million tonnes of CO2 per year that will link CO2 from industrial sites near Edmonton for enhanced oil recovery and geological storage in central Alberta. The ACTL is expected to start up in early 2020."
Clean Fuel Standard**,Cross-cutting,"CO2, CH4","Reduce GHG emissions from fuels used in transportation, buildings and industry",Regulatory,Planned ,2022,Environment and Climate Change Canada ,NAb,30000,"In November 2016 the Government of Canada announced that it would consult with provinces and territories, Indigenous Peoples, industries, and non-governmental organizations to develop a Clean Fuel Standard to reduce Canada’s GHGs through the increased use of lower carbon fuels and alternative technologies. A draft regulatory framework was published in December 2017, and based on stakeholder feedback, a phased approach was undertaken, with liquid fuel class regulations being developed first, followed by gaseous and solid fuel class regulations. In June 2019, a Proposed Regulatory Approach for the Clean Fuel Standard was released, presenting the full regulatory design for the liquid fuel class regulations, building on the draft regulatory framework (published December 2017) and developed with extensive stakeholder consultation. The Proposed Regulatory Approach was open for stakeholder comment until August 26, 2019, and work, including stakeholder engagement, on the regulatory design for the gaseous and solid fuel class regulations is ongoing. Draft regulations for the liquid fuel class will be published in early 2020. Final regulations are planned for early 2021, coming into force in 2022. Draft regulations for the gaseous and solid fuel class will be published mid-2021."
The Clean Growth Program*,Cross-cutting,"CO2, CH4, N2O",Improve environmental performance of Canada's natural resources sectors,Economic,Implemented,2017,Natural Resources Canada,NAb,500,"Under the Clean Growth program, the Government of Canada is providing $155 million over four years to co-fund 50 research, development, and demonstration projects in Canada’s energy, mining, and forestry sectors through trusted partnerships with provinces and territories. The program is helping to accelerate emerging clean technologies toward commercial readiness, reduce environmental impacts, enhance competitiveness, and create jobs. The program addresses pressing environmental challenges and economic opportunities facing Canada’s natural resource operations in five areas: reducing greenhouse gas and air-polluting emissions; minimizing landscape disturbances and improving waste management; the production and use of advanced materials and bioproducts; efficient energy use and productivity; and reducing water use and impacts on aquatic ecosystems. To better leverage investments, the program promotes and requires collaboration with the provinces and territories. The program is expected to result in direct reductions of GHG emissions of 0.3 Mt to 0.7 Mt per year starting in 2026 (dependent on projects received, success of projects and on-going operation at full production capacity). Oil and Gas Clean Technology Program listed under Oil and Gas below is funded out of this program."
Energy Innovation Program*,Cross-cutting,"CO2, CH4, N2O","Achieve environmental benefits from technology and/ or new policies, codes and standards",Economic,Implemented,2016,Natural Resources Canada,282,4000,"The Energy Innovation Program (EIP) provides ongoing funding for innovative clean energy research, development and small-scale demonstrations to meet Canada’s climate change objectives. EIP uses a range of flexible tools and program streams including grants, contributions, federal/provincial/territorial collaborations and public-private partnerships, such as Breakthrough Energy Solutions Canada (Natural Resources Canada, Breakthrough Energy and Business Development Bank of Canada) and Canadian Emissions Reduction Innovation Network (Natural Resources Canada and Alberta Innovates) to engage a range of stakeholders and spur clean energy solutions. In the near-term, the program focuses on technologies with the potential for replication and adoption prior to 2030 in buildings, electricity, transportation and industry. To date, the EIP has supported 63 external grants and contribution projects and 60 federal projects focused on addressing innovation gaps and opportunities to reduce GHGs in key areas such as renewable energy, smart grids, energy-efficient buildings, carbon capture use and storage, and cleaner production of oil and gas. In addition to supporting competitiveness for the transition of Canada’s energy sectors, EIP is expected to deliver long term reductions in GHG emissions (10,000-16,000 Kt including direct and indirect reductions). "
Federal Energy Efficient Equipment and Appliances Program*,Cross-cutting,"CO2, CH4, N2O",Improve standards for equipment and appliances,Regulatory,Implemented,2016,Natural Resources Canada,3320,9700,"Since 2016, this program published four omnibus amendments to the Energy Efficiency Regulations, updating or introducing minimum energy efficiency standards for nearly 50 product categories. During this period, the program has also updated or introduced high performance ENERGY STAR specifications for 25 product categories. The program also works with provincial and territorial governments and industry stakeholders to encourage market transformation in three equipment areas: windows, space heating and water heating. The Market Transformation Road Map outlines long-term aspirational goals for minimum energy performance by 2030/2035 and serves as the basis for short- to medium-term activities by governments and stakeholders."
Carbon pollution pricing across Canada*,Cross-cutting,"CH4, CO2, N2O, HFCs, PFCs, SF6, NF3","Reduce GHG emissions, stimulate investments in low-carbon innovation and create a sustainable clean growth economy","Regulatory, Economic  ",Implemented,2019,"Environment and Climate Change Canada, Finance Canada",37000,85000,"In October 2016, the Prime Minister announced the Pan-Canadian Approach to Pricing Carbon Pollution (the federal stringency requirements), which gave provinces and territories the flexibility to develop their own carbon pollution pricing system and outlined criteria all systems must meet to ensure they are stringent, fair, and efficient. The federal government also committed to implementing a federal carbon pollution pricing system in provinces and territories that request it or do not have a carbon pollution pricing system that meets the federal stringency requirements. The Greenhouse Gas Pollution Pricing Act established the framework for the federal carbon pollution pricing system. Pursuant to the Act, adopted on June 21, 2018, the federal carbon pollution pricing system has two parts: a trading system for large industry, also known as the Output-Based Pricing System, and a regulatory charge on fossil fuels (fuel charge). The Output-Based Pricing System Regulations were published in Canada Gazette Part II on July 10, 2019."
Federal GHG Offset System (Budget 2019),Cross-cutting,"CH4, CO2, N2O, HFCs, PFCs, SF6, NF3",Reduce GHG emissions / enhance removals across Canada from activities not covered by carbon pollution pricing,Regulatory,Planned ,2021,Environment and Climate Change Canada ,NAe,NEe,"As announced in Budget 2019, the federal government is developing a Federal GHG Offset System to encourage cost-effective domestic GHG emissions reductions or removal enhancements from activities that are not covered by carbon pollution pricing, in sectors such as forestry, agriculture and waste. The federal GHG offset system will build on the recommendations in the Pan-Canadian GHG Offsets Framework for the design of offset systems agreed by the Canadian Council of Ministers of the Environment in November 2018. "
Generation Energy,Cross-cutting,"CH4, CO2, N2O, HFCs, PFCs, SF6, NF3",Identify pathways to a low-carbon energy future,"Information, Education",Implemented,2017,Natural Resources Canada,NAd,NAd,"In 2017, Canada launched Generation Energy, a dialogue about Canada’s energy future. Over 380,000 Canadians participated in the dialogue, including through sessions targeted at Indigenous groups, women, students, industry and academics. As part of the dialogue, the Generation Energy Council was established. Their report, released in June 2018, identified pathways that could collectively lead to the affordable, sustainable energy future desired by Canadians. This work supported the subsequent development of a new vision for Canada’s energy future, which was announced at the 10th Clean Energy Ministerial and 4th Mission Innovation meetings hosted by Canada in May 2019. The advice continues to inform Canada’s path to a clean energy future through saving energy, powering clean communities, using more renewable fuels, and powering the world."
Greening Government Operations,Cross-cutting ,"CO2, CH4, N2O","Reduce greenhouse gas emissions from federal buildings, adopt low carbon solutions for federal fleets",Fiscal; Information; Education,Implemented,2017,"Treasury Board Secretariat, Natural Resources Canada",NEa,80,"This ongoing program provides enhanced technical support and a one-stop window to Government of Canada organizations seeking ambitious greenhouse gas emission reduction actions from their building and fleet operations. This will support federal organizations to meet commitments to lead by example, including the target of reducing emissions from federal operations by 40% below 2005 levels by 2030 or earlier and by 80% by 2050. For 2017-18, the most recent reporting year, GHG emissions had been reduced by 32% compared with the 2005 baseline."
